# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	296
#@/user_id	57f66d0b-5542-4c76-bff3-5964d43b0cf8
a 	啊	c=3 d=2.74595 t=263
na me 	那麼	c=1 d=1 t=99
ne 	呢	c=1 d=1 t=186
nei cun 	內存	c=1 d=1.00032 t=243
neng 	能	c=0 d=0.1 t=294
neng bu neng 	能不能	c=1 d=1 t=225
neng chu qu wan 	能出去玩	c=1 d=1 t=295
ni 	你	c=0 d=0.135169 t=263
ni bu xiang 	你不想	c=1 d=1 t=55
ni de 	你的	c=1 d=1 t=278
ni gang 	你剛	c=1 d=1 t=189
nong 	弄	c=2 d=1.62189 t=184
o o 	哦哦	c=1 d=1 t=75
pao le 	跑了	c=0 d=0.1 t=248
pao le ge 	跑了個	c=1 d=1 t=249
pian yi 	便宜	c=0 d=0.1 t=266
qi 	起	c=1 d=1 t=86
qi dong 	啓動	c=1 d=1 t=88
qi le 	起了	c=1 d=1 t=139
qian 	前	c=1 d=1 t=193
qian 	錢	c=0 d=0.1 t=178
qian bu duo 	錢不多	c=1 d=1 t=179
qie huan 	切換	c=1 d=1 t=78
qing jiao 	請教	c=0 d=0.1 t=93
qing jiao yi xia 	請教一下	c=1 d=1 t=94
qu 	去	c=0 d=0.28149 t=173
qu ban 	去辦	c=1 d=1 t=166
qu dong 	驅動	c=1 d=1 t=121
qun 	羣	c=2 d=1.36604 t=257
rang 	讓	c=1 d=1.07334 t=226
rang mi shu 	讓祕書	c=1 d=1 t=165
ren jia 	人家	c=2 d=1.99501 t=252
ren zheng 	認證	c=1 d=1.08607 t=71
ri le gou le 	日了狗了	c=1 d=1 t=265
sha 	殺	c=1 d=1 t=91
sha dou 	啥都	c=1 d=1 t=200
shan 	刪	c=1 d=1 t=95
shen me 	什麼	c=2 d=1.43387 t=281
shi 	勢	c=1 d=1.07261 t=117
shi 	是	c=3 d=2.34954 t=220
shi bie 	識別	c=1 d=1 t=151
shi hou 	時候	c=1 d=1 t=80
shi sha 	是啥	c=1 d=1 t=132
shi zhe ge 	是這個	c=1 d=1 t=135
shu ju ku 	數據庫	c=1 d=1 t=136
shu le 	輸了	c=1 d=1 t=235
shu liang 	數量	c=1 d=1 t=233
shu ru 	輸入	c=5 d=2.88239 t=296
shu ru fa 	輸入法	c=7 d=4.17304 t=282
shu xu guan 	鼠鬚管	c=2 d=1.27527 t=279
shuang 	爽	c=0 d=0.1 t=267
shuang de bu xing 	爽的不行	c=1 d=1 t=268
shuang pin 	雙拼	c=2 d=1.93707 t=283
shui 	誰	c=1 d=1 t=47
shuo guo 	說過	c=1 d=1 t=262
shuo hua 	說話	c=1 d=1 t=61
sun zong 	孫總	c=1 d=1 t=161
ta men 	他們	c=1 d=1 t=43
tai 	太	c=0 d=0.1 t=266
tai pian yi le 	太便宜了	c=1 d=1 t=267
te bie 	特別	c=1 d=1 t=231
ti jiao 	提交	c=0 d=0.1 t=189
ti jiao de 	提交的	c=1 d=1 t=190
tiao da 	調大	c=1 d=1 t=228
tong xue 	同學	c=1 d=1 t=180
tong yi 	統一	c=1 d=1.0865 t=70
tong yi ren zheng 	統一認證	c=1 d=1 t=42
tuo 	脫	c=1 d=1 t=284
wen jian 	文件	c=2 d=1.56836 t=210
wen ti 	問題	c=1 d=1 t=122
wo 	我	c=5 d=3.16761 t=186
wo geng xin 	我更新	c=1 d=1 t=187
wo hai mei 	我還沒	c=1 d=1 t=90
wo jiu 	我就	c=1 d=1 t=248
wo jiu yong 	我就用	c=1 d=1 t=11
wo qu 	我去	c=1 d=1.09851 t=266
wo qu ni mei 	我去你妹	c=1 d=1 t=264
wo yi wei 	我以爲	c=1 d=1 t=116
wo zai 	我再	c=1 d=1 t=124
wo zhe jiu 	我這就	c=0 d=0.1 t=293
wo zhe jiu google 	我這就Google	c=1 d=1 t=294
wu qi 	武器	c=0 d=0.1 t=181
wu qi yan fa 	武器研發	c=1 d=1 t=182
xia 	下	c=1 d=0.671209 t=128
xian zai 	現在	c=3 d=2.26372 t=230
xiao 	銷	c=1 d=1 t=39
xiao he 	小鶴	c=1 d=1 t=269
xie 	寫	c=1 d=1 t=143
xuan 	旋	c=1 d=1 t=37
yan fa 	研發	c=0 d=0.1 t=181
ye jiu 	也就	c=1 d=1 t=57
yi duan shi jian 	一段時間	c=1 d=1 t=103
yi wei 	以爲	c=0 d=0.1 t=115
yi xia 	一下	c=1 d=1.16151 t=126
ying pan 	硬盤	c=1 d=1 t=115
ying yong 	應用	c=1 d=1 t=250
yong 	用	c=2 d=0.681857 t=296
yong bu guan 	用不慣	c=1 d=1 t=84
yong de 	用的	c=1 d=1 t=280
yong shen me 	用什麼	c=1 d=1 t=22
yong zhe ge 	用這個	c=1 d=0.980199 t=296
you qian 	有錢	c=0 d=0.1 t=236
you shi hou 	有時候	c=1 d=1 t=77
yu shu 	榆樹	c=3 d=1.87088 t=277
yu yan 	語言	c=1 d=1 t=150
zai 	在	c=3 d=2.24379 t=181
zan men 	咱們	c=1 d=1.08479 t=206
zan men qu 	咱們去	c=1 d=1 t=174
zei 	賊	c=2 d=1.97531 t=203
zen me 	怎麼	c=2 d=1.81873 t=138
zen me yang 	怎麼樣	c=2 d=1.29671 t=271
zhan yong 	佔用	c=0 d=0.1 t=243
zhang hao 	帳號	c=1 d=0.99005 t=296
zhe 	這	c=0 d=0.1 t=243
zhe e 	這額	c=1 d=1 t=109
zhe ge 	這個	c=4 d=1.88203 t=296
zhe me 	這麼	c=0 d=0.1 t=59
zhe nei cun zhan yong 	這內存佔用	c=1 d=1 t=244
zhe zhong shi qing 	這種事情	c=1 d=1 t=164
zhen 	真	c=1 d=1.0956 t=245
zhen you qian 	真有錢	c=1 d=1 t=237
zheng 	整	c=1 d=1 t=125
zheng shi 	正式	c=0 d=0.1 t=39
zheng shi huan jing 	正式環境	c=1 d=1 t=40
zheng zai 	正在	c=1 d=1 t=183
zhong wen 	中文	c=1 d=0.970446 t=296
zhong ying 	中英	c=1 d=1 t=287
zi dong 	自動	c=1 d=1 t=105
